工具名称 Tool Name,Chinese Tool Name,单位 Unit,采购数量 Qty,购买链接 Purchase Link,单价 Price,小记 Subtotal,,
WD-40 Multi-Use Product,WD40 防锈润滑剂 （100ml),瓶,2,https://detail.tmall.com/item.htm?abbucket=1&id=555935876510&mi_id=0000wWP9x-qjdWx-kW0uBoECc_NsYLk0A0kzGROE9I8qDng&ns=1&priceTId=2100c88e17724185785292351e0cdb&skuId=3436908721669&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22cce722fd33327b0f5e1d72917b92ffb3%22%7D&xxc=taobaoSearch,30,60,,
Steel Ruler (15cm),钢尺 (30cm),把,10,https://detail.tmall.com/item.htm?abbucket=1&id=537285718109&mi_id=0000bTUFbB4HW_TM9lYR9O4omiz5b5hlA4LDui-M5BRRb4o&ns=1&priceTId=2100c88e17724192627521875e0cdb&spm=a21n57.1.hoverItem.12&utparam=%7B%22aplus_abtest%22%3A%22818ad2f959e9212b5735633e07149c4c%22%7D&xxc=taobaoSearch&skuId=3570826496012,6,60,,
Tap and Die Set (Taps)(6810),丝锥,套,2,https://detail.tmall.com/item.htm?ali_refid=a3_430008_1006%3A1456880085%3AH%3AOHlPGdHpLUdRrzpxY2GMNQ%3D%3D%3A948c7fa9714b1a14fab837fb5b3bc19e&ali_trackid=282_948c7fa9714b1a14fab837fb5b3bc19e&id=678697627988&mi_id=0000J5BlPSqBNaDEaYuC_FQsB9NoX5n1Ph_NE1xqh9hmi9k&mm_sceneid=1_0_1798380160_0&priceTId=2100c80117724190402567723e0589&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22c877e4ab67ed951571e3fb5ede5e67ae%22%7D&xxc=ad_ztc&skuId=5093781727968,30.3,60.6,,
Scissors,剪刀,把,6,https://detail.tmall.com/item.htm?abbucket=1&id=912676260934&mi_id=0000g5EjUY5k9CXS0Viw3mAFbj8MuXi6OR_1SR1puFIFRh4&ns=1&priceTId=2100c89717724199797747443e0d07&skuId=6020601572901&spm=a21n57.1.hoverItem.32&utparam=%7B%22aplus_abtest%22%3A%2260011db5b5256ebc2b856764e322b41e%22%7D&xxc=taobaoSearch,12,72,,
Tape Measure,卷尺,把,5,https://detail.tmall.com/item.htm?ali_refid=a3_420434_1006%3A1102874455%3AH%3A3tbkhEnMKwNDC7SJmEP5Gg%3D%3D%3A71049b7417c5de03b7893e565154e772&ali_trackid=318_71049b7417c5de03b7893e565154e772&id=580235579023&mi_id=0000Iu8oLH05Sppyr-i6LlOL92TSF--VecolMdLDOG1eJZk&mm_sceneid=0_0_17151244_0&priceTId=2100c88e17724192173538645e0cdb&skuId=5896628596959&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%228ac46f5ea4dad394414e8d9cde9443ef%22%7D&xxc=ad_ztc,16,80,,
Power Drill with Drill & Driver Bits,批头【2-8mm】75mm长7支装,套,4,https://detail.tmall.com/item.htm?abbucket=12&id=846943574269&mi_id=00003Ro4OTJ0bEGnKkRWV5go--WbIw_S4Pnf4qzkh8ilyhI&ns=1&priceTId=2100c84717724204029221191e0cd4&spm=a21n57.1.hoverItem.6&utparam=%7B%22aplus_abtest%22%3A%22f31ed480736b0873e69af0711387958b%22%7D&xxc=taobaoSearch,23,92,,
Tap and Die Set (Taps)(345),丝锥,套,4,https://detail.tmall.com/item.htm?ali_refid=a3_430008_1006%3A1456880085%3AH%3AOHlPGdHpLUdRrzpxY2GMNQ%3D%3D%3A948c7fa9714b1a14fab837fb5b3bc19e&ali_trackid=282_948c7fa9714b1a14fab837fb5b3bc19e&id=678697627988&mi_id=0000J5BlPSqBNaDEaYuC_FQsB9NoX5n1Ph_NE1xqh9hmi9k&mm_sceneid=1_0_1798380160_0&priceTId=2100c80117724190402567723e0589&skuId=5093781727968&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22c877e4ab67ed951571e3fb5ede5e67ae%22%7D&xxc=ad_ztc,23.1,92.4,,
Wrench Set (Spanners),扳手（套）,套,2,https://detail.tmall.com/item.htm?abbucket=12&id=557303049358&mi_id=0000DDuI37RulmOOZY_TnocfPmoN0tDsGieZk9ngAJkGr0w&ns=1&priceTId=2100c80117724195221531490e0589&skuId=3455108949819&spm=a21n57.1.hoverItem.44&utparam=%7B%22aplus_abtest%22%3A%2241152e7d0a26ac40b88191b72bdb3a12%22%7D&xxc=taobaoSearch,48,96,,
Wire Strippers/Cutters,剪线钳,把,2,https://detail.tmall.com/item.htm?ali_refid=a3_430582_1006%3A1224740136%3AH%3ApeBFaO4cT85TB61GsScG9Q%3D%3D%3Afb19fcca34068a16cc02704d32e84d62&ali_trackid=282_fb19fcca34068a16cc02704d32e84d62&id=613097229759&mi_id=0000mpQje36N-UIWxI_Ql0Ub0h4AeM9RVCBrtmGWso538bU&mm_sceneid=1_0_428110055_0&priceTId=2100c88e17724183307945470e0cdb&skuId=5830433710775&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%222079c29ee8b6a9676d319c2acc1b87d6%22%7D&xxc=ad_ztc,50,100,,
Super Glue (Cyanoacrylate),502 强力胶,瓶,5,https://detail.tmall.com/item.htm?abbucket=1&id=662225822192&mi_id=0000ONw0PffjOMhKQDzZTgbm_OB6biOKKAEOmUU0zyTO_UE&ns=1&priceTId=2100c88e17724191808987648e0cdb&skuId=4983218131608&spm=a21n57.1.hoverItem.5&utparam=%7B%22aplus_abtest%22%3A%22d60109916a73d0f5f5e11428ce323bd5%22%7D&xxc=taobaoSearch,20,100,,
Metal Files (Large & Small),锉刀 （套装）,套,2,https://detail.tmall.com/item.htm?abbucket=1&id=785767807474&mi_id=0000zvNhFY32Y9quDdYBqYALXY-_S5ZyUen6lvqb6hQsM6c&ns=1&priceTId=2100c88e17724189532402541e0cdb&skuId=5536973823941&spm=a21n57.1.hoverItem.17&utparam=%7B%22aplus_abtest%22%3A%22d891d225cda3d526d282c3b67f8f255e%22%7D&xxc=taobaoSearch,56,112,,
Vernier Caliper(200mm),游标卡尺,把,2,https://detail.tmall.com/item.htm?ali_refid=a3_430008_1006%3A1110484642%3AH%3AktVnBKzj0PyHKGt2skNK8zn8alX5J2R2%3A2b6cfe4e2cf8dd8ca8a8e85e730ee2bc&ali_trackid=318_2b6cfe4e2cf8dd8ca8a8e85e730ee2bc&id=693352516892&mi_id=0000D5Diy0HzPcFlyAYY_M7CQdOuRB8JECepnfgLK7_tstU&mm_sceneid=0_0_108865879_0&priceTId=2100c83117724186279214355e0c99&skuId=5210402589383&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e80a8187c1092fb233da9a0dc1728322%22%7D&xxc=ad_ztc,59.9,119.8,,
Claw Hammer,铁锤,把,5,https://detail.tmall.com/item.htm?abbucket=1&id=641675509704&mi_id=0000FLBLyxkWQxmEbuFiTFSkUKJ68JB80nxq6kUs4kh0qSQ&ns=1&priceTId=2100c89717724203824528695e0d07&skuId=4788035891877&spm=a21n57.1.hoverItem.12&utparam=%7B%22aplus_abtest%22%3A%222863281cf1fc47e064a84afdd805dfa8%22%7D&xxc=taobaoSearch,25,125,,
Digital Precision Scale,电子秤,台,4,https://detail.tmall.com/item.htm?abbucket=1&id=667865425463&mi_id=0000daq6zliMtfvQ9yXY9fvx52BHlssBAehuMVveCJY55LE&ns=1&priceTId=2100c88e17724186728494317e0cdb&spm=a21n57.1.hoverItem.18&utparam=%7B%22aplus_abtest%22%3A%220adf78d04ce02c44fe29a8f39aa30e10%22%7D&xxc=taobaoSearch&skuId=4931736413446,32,128,,
Diagonal Cutters / Flush Cutters,斜口钳,把,40,https://item.taobao.com/item.htm?abbucket=12&id=604091242475&mi_id=00000KLPqSLgLQz7bIYYbGNBD0zyjJG-8bkVfOiWg8l8uOc&ns=1&priceTId=2100c83117724188691101828e0c99&skuId=4402313435552&spm=a21n57.1.hoverItem.10&utparam=%7B%22aplus_abtest%22%3A%22271aecf8171695ce3114a8015a8914d5%22%7D&xxc=taobaoSearch,3.28,131.2,,
Vernier Caliper(150mm),游标卡尺,把,5,https://detail.tmall.com/item.htm?ali_refid=a3_430008_1006%3A1110484642%3AH%3AktVnBKzj0PyHKGt2skNK8zn8alX5J2R2%3A2b6cfe4e2cf8dd8ca8a8e85e730ee2bc&ali_trackid=318_2b6cfe4e2cf8dd8ca8a8e85e730ee2bc&id=693352516892&mi_id=0000D5Diy0HzPcFlyAYY_M7CQdOuRB8JECepnfgLK7_tstU&mm_sceneid=0_0_108865879_0&priceTId=2100c83117724186279214355e0c99&skuId=5210402589383&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22e80a8187c1092fb233da9a0dc1728322%22%7D&xxc=ad_ztc,29.8,149,,
Needle Nose Pliers,尖嘴钳,把,5,https://detail.tmall.com/item.htm?ali_refid=a3_420434_1006%3A1110001546%3AH%3A1%2Fq57wKKNVUxjBUhj2%2FCHbdrPF9Np09F%3A8dd42c2b7f3951bbc5e87aede2ffbe89&ali_trackid=294_8dd42c2b7f3951bbc5e87aede2ffbe89&id=520947679925&mi_id=0000Rw0lB71DCEr9apN-GTwpO7Lh3Ny6h2S3X62IwNXV5A8&mm_sceneid=2_0_98921971_0&priceTId=2100c89717724196562678299e0d07&skuId=4651885642848&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22ef4219f7ee233d887e25eeffa6be2962%22%7D&xxc=ad_ztc,35,175,,
UV Glue / Resin,UV胶,瓶,5,https://detail.tmall.com/item.htm?abbucket=1&id=1012587489411&mi_id=000092_VojnMaAQ41Ga2uh-O17e27eRPk-5lmR_h3BNpGMI&ns=1&priceTId=2100c88e17724184907368751e0cdb&skuId=6013939320540&spm=a21n57.1.hoverItem.4&utparam=%7B%22aplus_abtest%22%3A%22ed9e28137d0bbe7ed8380c89b049cf51%22%7D&xxc=taobaoSearch,35,175,,
Hex Key/Allen Wrench Set（wrench）,六角螺丝刀（套）,套,6,https://detail.tmall.com/item.htm?abbucket=12&id=681093621659&mi_id=0000CfhcdsHCJnmpB1lTgMVp0ysJqGaI4HoZj6c051G1Qh0&ns=1&priceTId=2100c83117724183865256343e0c99&spm=a21n57.1.hoverItem.19&utparam=%7B%22aplus_abtest%22%3A%221c201176a651df4650ed305c3e9a3ef3%22%7D&xxc=taobaoSearch&skuId=5829206818455,36.9,221.4,,
Rubber Mallet,橡胶锤,把,5,https://detail.tmall.com/item.htm?abbucket=1&id=568010217616&mi_id=0000bL7HsTfxVcitorKMV14lYJdA9Gv1vFe_C9R_ce0ecbI&ns=1&priceTId=2100c88e17724182605394318e0cdb&skuId=3625979184264&spm=a21n57.1.hoverItem.13&utparam=%7B%22aplus_abtest%22%3A%22929b313e3e200c0fbc0ddd28c7182e01%22%7D&xxc=taobaoSearch,50,250,,
Flathead Screwdrivers (Various Sizes),一字螺丝刀（大小）绿林大师-9件套螺丝刀塑盒组套,把,2,https://detail.tmall.com/item.htm?ali_refid=a3_430008_1006%3A1110484642%3AH%3AEp28zRIH3pSy2heilI5zsgUzsLQiahQ5%3Ac80e944d43f07518f4fc92bc0d6587c7&ali_trackid=318_c80e944d43f07518f4fc92bc0d6587c7&id=716489948046&mi_id=0000cevbcRbhCFPsLFTHpNHVJ8U2o-nmw6W8-_-te-ZrtMw&mm_sceneid=0_0_108865879_0&priceTId=2100c80117724201715768133e0589&skuId=5654106860934&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22f3574679725ddd966af163e2a36b9707%22%7D&xxc=ad_ztc,159,318,,
Hex Key/Allen Wrench Set（T-shape）,六角螺丝刀（套）,套,3,https://item.taobao.com/item.htm?ali_refid=a3_430008_1006%3A1730102981%3AH%3A06qO1kS386PfGSVnr2WBpKO5VsvJc6G0%3Aaa7984e95e69369fc0b76b1994854e5f&ali_trackid=282_aa7984e95e69369fc0b76b1994854e5f&id=811487977035&mi_id=00004AoBJmTEQ3tPrkz2rYIiYhmOcG4GgB5oEsWgx7K4eIQ&mm_sceneid=1_0_6562014633_0&priceTId=2100c83117724179457603441e0c99&skuId=5504141840949&spm=a21n57.1.hoverItem.8&utparam=%7B%22aplus_abtest%22%3A%221fa2a74ad50529805bbb71ebeabcf75e%22%7D&xxc=ad_ztc,182,546,,
,,,,,,,,
,,,,,,,,
,,,,,Total,3658.98,,
,,,,,Currency used is CNY (¥),,,
